#SAMPLE,R1 RAW READS,R2 RAW READS,TRIM INPUT READS,TRIM SURVIVING READS,TRIM SURVIVING READS %,INPUT READS,MAPPED READS (MQ10),MAPPED %,CHIMERIC %,MAPPED READS,DEDUPLICATED READS,DUPLICATES %,ON-TARGET,ON-TARGET 100BP PAD,ON-TARGET 500BP PAD,MEAN COVERAGE,MEDIAN COVERAGE,%_bases_above_10,%_bases_above_50,%_bases_above_100,%_bases_above_500
SRR2129308,135687104,135687104,135687104,124520951,91.70%,249041902,241845562,97.10%,0.14%,241845562,220426286,8.85%,55.40%,70.70%,76.50%,67.52,16,52.4,40.8,26.6,0.6
SRR2129310,201891196,201891196,201891196,194826875,96.50%,389653750,378703273,97.10%,0.17%,378703273,337690550,10.80%,55.80%,71.10%,76.80%,104.39,23,55.1,45.4,37.1,2.7
SRR2129312,97542564,97542564,97542564,93515653,95.80%,187031306,181371834,96.90%,0.35%,181371834,165466140,8.76%,55.60%,71.10%,77.20%,50.97,13,51,36.8,19.3,0.1
SRR2129314,121675696,121675696,121675696,114451508,94.00%,228903016,222276505,97.10%,0.36%,222276505,198433789,10.70%,56.20%,71.90%,77.60%,61.51,14,51.6,39.9,24.7,0.3
SRR2129316,113078370,113078370,113078370,107875884,95.30%,215751768,209338905,97.00%,0.39%,209338905,185282154,11.40%,56.10%,71.90%,77.80%,57.6,14,51.4,39.2,23.1,0.2
SRR2129318,118619285,118619285,118619285,113733912,95.80%,227467824,220881196,97.10%,0.44%,220881196,195473579,11.50%,55.80%,71.50%,77.60%,60.53,15,51.8,40.1,24.5,0.2
SRR2129320,97536064,97536064,97536064,93091449,95.40%,186182898,180706296,97.00%,0.43%,180706296,168348417,6.83%,56.20%,71.90%,77.80%,52.34,12,50.8,37.1,19.9,0.1
SRR2129322,89505560,89505560,89505560,85643155,95.60%,171286310,166316076,97.00%,0.46%,166316076,154353062,7.19%,56.40%,72.30%,78.40%,48.22,12,50.6,35.7,17.8,0.1
SRR2129324,55635514,55635514,55635514,53032572,95.30%,106065144,102997331,97.10%,0.19%,102997331,99647253,3.25%,56.40%,72.00%,77.80%,31.18,8,48,24.3,8.1,0
SRR2129326,126433017,126433017,126433017,107734773,85.20%,215469546,209113261,97.00%,0.16%,209113261,196951227,5.81%,56.30%,71.90%,77.40%,60.56,13,51.2,39,23.6,0.4
SRR2129328,98456510,98456510,98456510,94031970,95.50%,188063940,182608403,97.00%,0.34%,182608403,164487742,9.92%,56.10%,71.70%,77.50%,51.02,12,50.7,36.8,19.5,0.1
SRR2129330,102921024,102921024,102921024,98391554,95.50%,196783108,190892505,97.00%,0.41%,190892505,176476267,7.55%,56.10%,71.60%,77.60%,54.72,13,51.1,38.1,21.1,0.2
SRR2129332,98064394,98064394,98064394,93657974,95.50%,187315948,181458388,96.80%,0.40%,181458388,166951411,7.99%,54.50%,69.70%,76.00%,50.31,13,51,36.9,18.9,0.1
SRR2129334,93460297,93460297,93460297,89526107,95.70%,179052214,173741261,97.00%,0.42%,173741261,159481518,8.20%,56.60%,72.30%,78.10%,49.96,12,50.6,36.4,18.7,0.1
SRR2182802,124113478,124113478,124113478,116879206,94.10%,233758412,228180874,97.60%,0.72%,228180874,192690958,15.50%,65.30%,83.50%,88.90%,68.54,14,51.3,41.1,27.7,0.7
SRR2182803,106800416,106800416,106800416,101208606,94.70%,202417212,197661736,97.60%,0.52%,197661736,172128960,12.90%,65.60%,84.10%,90.00%,61.34,13,51.1,39.6,24.5,0.5
SRR2182804,104934010,104934010,104934010,99450018,94.70%,198900036,194207993,97.60%,0.20%,194207993,163594318,15.70%,65.80%,84.30%,90.00%,58.48,13,50.8,39,23.3,0.4
SRR2182805,91857137,91857137,91857137,87681867,95.40%,175363734,169238442,96.50%,0.22%,169238442,156152767,7.73%,46.60%,60.10%,66.70%,39.96,11,50.3,31.6,12.3,0
SRR2182807,101995035,101995035,101995035,97653267,95.70%,195306534,189708118,97.10%,0.18%,189708118,158771263,16.30%,56.40%,72.80%,79.10%,49.81,13,51.1,37.8,19.6,0
SRR2182808,104467272,104467272,104467272,101311439,96.90%,202622878,196437137,96.90%,0.64%,196437137,181505281,7.60%,57.20%,73.20%,79.20%,57.67,14,51.6,38.7,22.3,0.3
SRR3162947,105576062,105576062,105576062,97780681,92.60%,195561362,189890198,97.10%,0.22%,189890198,180103233,5.15%,56.40%,72.20%,77.70%,55.83,12,50.7,37.8,21.4,0.3
SRR3162950,119239357,119239357,119239357,114696808,96.10%,229393616,222506669,96.90%,0.41%,222506669,203961062,8.33%,55.20%,70.60%,76.50%,62.41,15,51.8,40,24.8,0.4
SRR3162955,109691737,109691737,109691737,105763190,96.40%,211526380,205359105,97.00%,0.19%,205359105,192376014,6.32%,59.10%,75.40%,81.00%,62.99,13,51.2,39.8,24.6,0.4
SRR3162964,118679739,118679739,118679739,113871717,95.90%,227743434,221371240,97.20%,0.20%,221371240,199158777,10.00%,53.50%,69.50%,76.30%,59.33,16,52.2,40.3,24.2,0.2
SRR3162969,94562192,94562192,94562192,90288566,95.40%,180577132,175382963,97.10%,0.38%,175382963,156207502,10.90%,56.40%,72.20%,77.90%,48.78,12,50.5,36.1,18.4,0.1
SRR3162971,106816030,106816030,106816030,102186453,95.60%,204372906,198415391,97.00%,0.43%,198415391,181535348,8.50%,56.00%,71.90%,78.10%,56.38,14,51.6,38.8,22.2,0.2
SRR3162973,127557674,127557674,127557674,121739473,95.40%,243478946,236494900,97.10%,0.43%,236494900,214085597,9.47%,55.80%,71.60%,77.70%,66.18,16,52.2,41.1,26.8,0.4
SRR3162976,87511320,87511320,87511320,84938449,97.00%,169876898,165034464,97.10%,1.30%,165034464,145745740,11.60%,53.80%,69.60%,77.60%,43.78,14,51.8,34.6,15.5,0
SRR3162978,117759648,117759648,117759648,114061434,96.80%,228122868,222101247,97.30%,0.18%,222101247,199963228,9.96%,59.20%,75.20%,80.60%,65.63,13,51.3,40.2,25.7,0.5
SRR3162981,111623543,111623543,111623543,108059107,96.80%,216118214,209858781,97.10%,0.43%,209858781,168009876,19.90%,56.30%,72.50%,78.60%,52.54,13,51.2,38,20.6,0.1
SRR3162983,101139526,101139526,101139526,96856544,95.70%,193713088,187971592,97.00%,0.38%,187971592,172439315,8.26%,56.30%,71.90%,77.80%,53.69,13,51,37.6,20.6,0.2
SRR3162985,98424583,98424583,98424583,92790145,94.20%,185580290,180221256,97.10%,0.46%,180221256,166056448,7.85%,56.50%,72.30%,78.00%,51.79,12,50.7,36.9,19.7,0.1
SRR3162987,89723294,89723294,89723294,85908820,95.70%,171817640,166850184,97.10%,0.43%,166850184,154062468,7.66%,56.20%,72.00%,78.00%,47.93,12,50.6,35.6,17.6,0.1
SRR3162989,202832792,202832792,202832792,192208885,94.70%,384417770,373018206,97.00%,0.48%,373018206,288872889,22.50%,54.40%,70.10%,76.90%,84.62,23,54.6,44.7,34,0.9
SRR3162991,117717177,117717177,117717177,114436783,97.20%,228873566,222016395,97.00%,0.39%,222016395,165938487,25.20%,56.50%,72.30%,78.10%,52.09,13,51.2,37.9,20.5,0
SRR3162993,87665691,87665691,87665691,83896887,95.70%,167793774,162612786,96.90%,0.47%,162612786,150978364,7.15%,55.50%,70.90%,76.90%,46.36,11,50.3,34.9,16.7,0.1
SRR3162996,139927334,139927334,139927334,135781762,97.00%,271563524,263714702,97.10%,0.44%,263714702,174330864,33.80%,56.00%,72.30%,79.20%,54.39,16,52.4,40.2,22.9,0
SRR3162998,100648934,100648934,100648934,97946680,97.30%,195893360,189522555,96.70%,0.47%,189522555,168593711,11.00%,54.70%,70.10%,76.10%,51.21,13,51,36.7,19.3,0.1
SRR3163000,114550027,114550027,114550027,110965856,96.80%,221931712,215411953,97.00%,0.50%,215411953,185009310,14.10%,56.50%,72.60%,78.60%,57.94,14,51.5,39.7,23.2,0.2
SRR3163002,91310785,91310785,91310785,87170832,95.40%,174341664,169249238,97.00%,0.48%,169249238,156301602,7.65%,56.20%,72.00%,78.10%,48.63,12,50.6,35.9,18,0.1
SRR3163004,86306742,86306742,86306742,82346545,95.40%,164693090,159828701,97.00%,0.45%,159828701,148780946,6.91%,56.20%,71.90%,77.90%,46.24,11,50.3,34.9,16.6,0.1
SRR3163006,85077979,85077979,85077979,81604859,95.90%,163209718,158166018,96.90%,0.44%,158166018,147566384,6.70%,56.90%,72.50%,78.00%,46.36,10,49.8,34.1,16.6,0.1
SRR3163008,123020168,123020168,123020168,117694387,95.60%,235388774,228394575,97.00%,0.45%,228394575,207134323,9.30%,56.20%,71.90%,78.00%,64.41,15,52.1,40.7,25.9,0.4
SRR3163010,89011746,89011746,89011746,85030647,95.50%,170061294,164999287,97.00%,0.41%,164999287,151995045,7.88%,56.40%,72.20%,78.00%,47.45,11,50.3,35.1,17.3,0.1
SRR3163012,81359532,81359532,81359532,77906214,95.70%,155812428,151272320,97.00%,0.43%,151272320,140941546,6.82%,55.90%,71.50%,77.70%,43.62,11,50.1,33.5,15.1,0
SRR3163014,80462844,80462844,80462844,78123095,97.00%,156246190,151643709,97.00%,0.22%,151643709,144948120,4.41%,56.20%,71.90%,77.60%,45.27,10,49.8,33.5,15.8,0.1
SRR3163016,81606228,81606228,81606228,76898555,94.20%,153797110,149283316,97.00%,0.43%,149283316,139518703,6.54%,56.10%,71.80%,77.60%,43.23,10,49.8,33.1,14.9,0
SRR3163018,114612852,114612852,114612852,109507407,95.50%,219014814,212628321,97.00%,0.40%,212628321,194067566,8.72%,56.40%,72.10%,78.00%,60.59,14,51.5,39.9,24.3,0.3
SRR3163020,91612984,91612984,91612984,88914321,97.00%,177828642,172378388,96.90%,0.53%,172378388,150607103,12.60%,56.30%,72.30%,78.50%,47.12,12,50.6,35.7,17.3,0.1
SRR3163022,92015438,92015438,92015438,88841955,96.50%,177683910,172957204,97.30%,0.16%,172957204,163825666,5.27%,59.90%,76.40%,82.00%,54.7,12,50.6,37.2,20.8,0.2
SRR3163024,114540338,114540338,114540338,111189896,97.00%,222379792,216140728,97.10%,0.16%,216140728,201235652,6.89%,60.00%,76.50%,81.90%,67.46,14,51.5,40.3,26,0.6
SRR3163026,96812041,96812041,96812041,94103534,97.20%,188207068,183023190,97.20%,0.15%,183023190,171808766,6.12%,60.40%,76.80%,82.10%,57.96,12,50.6,37.9,22.2,0.3
SRR3163028,108933569,108933569,108933569,105351422,96.70%,210702844,204710375,97.10%,0.22%,204710375,190836443,6.77%,57.20%,73.30%,79.10%,60.62,14,51.4,39.3,23.7,0.4
SRR3163030,118723799,118723799,118723799,114779124,96.60%,229558248,222771591,97.00%,0.24%,222771591,205760719,7.63%,56.80%,72.80%,78.70%,65.02,15,51.8,40.3,25.5,0.5
SRR3163032,112783863,112783863,112783863,110129809,97.60%,220259618,214126706,97.20%,0.16%,214126706,200081463,6.55%,59.50%,76.00%,81.50%,66.54,14,51.5,40.3,25.8,0.6
SRR3163034,174152299,174152299,174152299,164735168,94.50%,329470336,320083506,97.10%,0.49%,320083506,269648372,15.70%,55.40%,71.40%,78.00%,80.09,21,53.6,44.1,32.6,0.8
SRR3163036,81801691,81801691,81801691,79397965,97.00%,158795930,154470896,97.20%,0.47%,154470896,136114153,11.80%,55.90%,71.60%,77.50%,48.16,12,50.7,35.7,17.7,0.1
SRR3163038,97420020,97420020,97420020,93216585,95.60%,186433170,181524724,97.30%,0.44%,181524724,162647410,10.30%,55.90%,71.60%,77.60%,57.35,14,51.5,38.8,22.4,0.2
SRR3163040,90842911,90842911,90842911,86576972,95.30%,173153944,167883568,96.90%,0.43%,167883568,150609267,10.20%,55.70%,71.50%,77.60%,46.34,11,50.4,34.7,16.7,0.1
SRR3163042,104898039,104898039,104898039,101420313,96.60%,202840626,196834284,97.00%,0.50%,196834284,168959269,14.10%,55.70%,71.70%,78.10%,52.3,14,51.4,37.6,20.1,0.1
SRR3163044,97726678,97726678,97726678,94676785,96.80%,189353570,184134751,97.20%,0.61%,184134751,164671449,10.50%,55.70%,71.40%,77.50%,58.04,14,51.6,39.2,22.6,0.3
SRR3163046,97932283,97932283,97932283,95520040,97.50%,191040080,185665828,97.10%,0.17%,185665828,174724340,5.89%,59.90%,76.40%,81.80%,58.45,12,50.8,38.3,22.5,0.3
SRR3163048,144332155,144332155,144332155,138151455,95.70%,276302910,268909112,97.30%,0.46%,268909112,232346726,13.50%,54.80%,70.40%,76.60%,80.49,20,53.6,43.7,32.2,1
SRR3163050,86540606,86540606,86540606,83956953,97.00%,167913906,163223503,97.20%,0.32%,163223503,144137845,11.60%,58.80%,75.40%,81.20%,47.11,11,50.4,35.7,17.5,0
SRR3163052,108059298,108059298,108059298,105062696,97.20%,210125392,203865563,97.00%,0.59%,203865563,179723442,11.80%,55.40%,71.50%,78.00%,55.34,14,51.7,38.7,21.6,0.2
SRR3163054,124236170,124236170,124236170,121284199,97.60%,242568398,236025747,97.30%,0.16%,236025747,219095777,7.17%,60.20%,76.70%,82.10%,73.62,15,51.8,41.4,28.3,0.9
SRR3163056,99541069,99541069,99541069,96535213,96.90%,193070426,187287827,97.00%,0.40%,187287827,163992040,12.40%,56.20%,72.00%,78.00%,51.14,12,50.9,37.1,19.4,0.1
SRR3163058,126360874,126360874,126360874,123017539,97.30%,246035078,239626958,97.30%,0.15%,239626958,217998506,9.02%,60.40%,76.80%,82.00%,73.23,14,51.5,41.3,28.2,0.9
SRR3163060,101347553,101347553,101347553,98129426,96.80%,196258852,190558056,97.00%,0.50%,190558056,169541768,11.00%,56.80%,73.00%,79.20%,53.35,13,51.2,37.8,20.6,0.1
SRR3163062,117089806,117089806,117089806,113704324,97.10%,227408648,220274071,96.80%,0.46%,220274071,190839309,13.30%,54.30%,69.70%,76.00%,57.57,15,51.9,39.5,22.8,0.2
SRR3163064,117332632,117332632,117332632,114384012,97.40%,228768024,222418577,97.20%,0.17%,222418577,207481612,6.71%,59.90%,76.30%,81.60%,69.38,14,51.5,40.6,26.8,0.7
SRR3163066,122707387,122707387,122707387,119024019,96.90%,238048038,231020009,97.00%,0.19%,231020009,215661707,6.64%,56.20%,71.90%,77.60%,67.37,15,51.8,40.8,26.4,0.6
SRR3163068,110718955,110718955,110718955,106240577,95.90%,212481154,206698308,97.20%,0.20%,206698308,193202791,6.52%,56.90%,73.10%,79.10%,60.68,14,51.5,39.6,23.9,0.3
SRR3163070,112162630,112162630,112162630,108283386,96.50%,216566772,209884037,96.90%,0.55%,209884037,183747868,12.40%,54.50%,70.20%,77.10%,55.59,15,52,39.2,21.8,0.1
SRR3163072,91218147,91218147,91218147,88200290,96.60%,176400580,171300501,97.10%,0.48%,171300501,140349731,18.00%,56.00%,72.10%,78.50%,43.71,12,50.6,34.4,15.5,0
SRR3163074,106680895,106680895,106680895,103983579,97.40%,207967158,202467029,97.30%,0.18%,202467029,188195097,7.04%,60.10%,76.70%,82.20%,63.26,14,51.2,39.8,24.7,0.4
SRR3163076,122348571,122348571,122348571,119022586,97.20%,238045172,231104745,97.00%,0.13%,231104745,215685383,6.67%,57.20%,73.00%,78.70%,67.62,16,52.2,41.6,27.3,0.3
SRR3163078,106883472,106883472,106883472,103576647,96.90%,207153294,201914155,97.40%,0.50%,201914155,170800787,15.40%,54.90%,70.70%,77.20%,59.53,16,52.3,40,23.7,0.2
SRR3163080,94291490,94291490,94291490,89893042,95.30%,179786084,174172174,96.80%,0.48%,174172174,154271954,11.40%,56.80%,72.90%,78.90%,48.47,12,50.5,36.2,18.1,0.1
SRR3163082,127667313,127667313,127667313,123419130,96.60%,246838260,239804042,97.10%,0.18%,239804042,223559747,6.77%,59.90%,76.20%,81.60%,74.61,15,51.9,41.6,28.4,0.9
SRR3163084,117715828,117715828,117715828,114224602,97.00%,228449204,221618534,97.00%,0.20%,221618534,206146139,6.98%,57.20%,73.00%,78.50%,65.46,14,51.5,40.4,25.7,0.5
SRR3163086,100800088,100800088,100800088,95998652,95.20%,191997304,186141247,96.90%,0.52%,186141247,160523281,13.70%,56.20%,72.30%,78.60%,49.84,13,51,36.8,18.8,0.1
SRR3163088,87607877,87607877,87607877,84980806,97.00%,169961612,165691411,97.40%,0.49%,165691411,144257687,12.90%,56.10%,72.00%,78.10%,51.26,13,51.1,37.3,19.5,0.1
SRR3163090,101750797,101750797,101750797,98640207,96.90%,197280414,191054927,96.80%,0.47%,191054927,168804535,11.60%,53.80%,69.40%,76.10%,50.44,14,51.4,37.4,19.2,0.1
SRR3163092,99301050,99301050,99301050,94985306,95.60%,189970612,184743814,97.20%,0.39%,184743814,163986778,11.20%,54.70%,70.10%,76.30%,56.56,14,51.7,39,22.3,0.2
SRR3163094,123940727,123940727,123940727,120793774,97.40%,241587548,234662942,97.10%,0.16%,234662942,218555633,6.86%,59.80%,76.30%,81.90%,73.02,15,52,41.4,28.1,0.8
SRR3163096,93583782,93583782,93583782,90009633,96.10%,180019266,174991836,97.20%,0.20%,174991836,164544059,5.97%,57.10%,73.20%,79.00%,51.98,11,50.5,36.5,19.5,0.2
SRR3163098,130754053,130754053,130754053,127691493,97.60%,255382986,248383728,97.20%,0.16%,248383728,231539617,6.78%,59.50%,76.00%,81.50%,76.96,16,52.3,42.1,29.6,1
SRR3163100,100909687,100909687,100909687,97431598,96.50%,194863196,189411792,97.20%,0.16%,189411792,178228989,5.90%,60.00%,76.40%,81.80%,59.5,12,50.9,38.2,22.8,0.4
SRR3163102,111186910,111186910,111186910,107101841,96.30%,214203682,208348283,97.20%,0.23%,208348283,196329629,5.76%,57.40%,73.50%,79.20%,62.36,13,51.2,39.4,24.3,0.5
SRR3163104,139241045,139241045,139241045,135333218,97.10%,270666436,263531172,97.30%,0.16%,263531172,246225553,6.56%,59.70%,76.20%,81.50%,81.77,16,52.3,42.6,31.1,1.3
SRR3163106,121892892,121892892,121892892,118211819,96.90%,236423638,229651437,97.10%,0.20%,229651437,212901588,7.29%,56.90%,72.90%,78.70%,67.45,15,51.9,40.7,26.5,0.6
SRR3163108,108091166,108091166,108091166,105321228,97.40%,210642456,205112100,97.30%,0.21%,205112100,188939398,7.88%,59.80%,76.40%,81.90%,63.27,14,51.3,39.6,24.7,0.4
SRR3163110,90942357,90942357,90942357,88346335,97.10%,176692670,171234249,96.90%,0.53%,171234249,140348871,18.00%,56.50%,72.60%,78.80%,44.1,11,50.4,34.7,15.8,0
SRR3163112,122712944,122712944,122712944,119759693,97.50%,239519386,232984738,97.20%,0.18%,232984738,217625135,6.59%,59.10%,75.60%,81.30%,71.85,16,52.1,41.5,28,0.8
SRR3163114,139665599,139665599,139665599,135723297,97.10%,271446594,264481396,97.40%,0.15%,264481396,246279011,6.88%,59.40%,75.80%,81.20%,81.33,17,52.4,42.7,31,1.3
SRR3163116,105869646,105869646,105869646,102558773,96.80%,205117546,199034509,97.00%,0.41%,199034509,175042816,12.00%,55.10%,70.90%,77.20%,53.57,14,51.5,38.1,20.7,0.1
SRR3163118,96799137,96799137,96799137,94312877,97.40%,188625754,183260650,97.10%,0.18%,183260650,172517861,5.86%,59.40%,75.80%,81.50%,57.21,12,50.9,37.9,21.9,0.3
SRR3163120,114577281,114577281,114577281,110011842,96.00%,220023684,213710820,97.10%,0.19%,213710820,200982955,5.95%,56.50%,72.30%,78.00%,62.67,14,51.4,39.6,24.5,0.5
SRR3163122,114976709,114976709,114976709,110445773,96.00%,220891546,214858191,97.20%,0.19%,214858191,201151290,6.37%,56.70%,72.90%,79.00%,63.12,15,51.7,40,24.9,0.4
SRR3163124,97915527,97915527,97915527,94073052,96.00%,188146104,182688805,97.00%,0.19%,182688805,172956568,5.32%,56.50%,72.30%,78.00%,53.89,12,50.7,37.2,20.3,0.2
SRR3163126,116861130,116861130,116861130,113162064,96.80%,226324128,220533068,97.40%,0.22%,220533068,197253138,10.50%,60.30%,76.60%,81.70%,66,13,51.1,40,25.8,0.5
SRR3163128,120881922,120881922,120881922,117821935,97.40%,235643870,229086073,97.20%,0.19%,229086073,213679261,6.72%,59.30%,75.70%,81.30%,70.74,15,51.9,41.2,27.5,0.7
SRR3163130,86345799,86345799,86345799,82334335,95.30%,164668670,159609094,96.90%,0.46%,159609094,141570944,11.30%,56.20%,72.20%,78.40%,43.94,11,50.3,34,15.4,0
SRR3163132,114969451,114969451,114969451,111212442,96.70%,222424884,216024099,97.10%,0.20%,216024099,203276421,5.90%,56.50%,72.30%,77.80%,63.86,14,51.4,39.7,24.8,0.5
SRR3163134,103219621,103219621,103219621,99878133,96.70%,199756266,194136003,97.10%,0.19%,194136003,183588608,5.43%,56.40%,72.10%,77.80%,57.55,13,51,38.4,22.2,0.3
SRR3163136,95614274,95614274,95614274,80318256,84.00%,160636512,156269585,97.20%,0.19%,156269585,148754039,4.80%,57.60%,73.80%,79.30%,46.22,10,49.6,34.4,16.3,0.1
SRR3163138,93177289,93177289,93177289,90521157,97.10%,181042314,176062710,97.20%,0.16%,176062710,165585133,5.95%,59.90%,76.40%,81.90%,55.4,12,50.6,37.3,21.1,0.2
SRR3163140,111622628,111622628,111622628,108741453,97.40%,217482906,211693070,97.30%,0.17%,211693070,197862331,6.53%,59.50%,76.00%,81.60%,65.83,14,51.5,40.4,25.7,0.5
SRR3163142,114329207,114329207,114329207,111147029,97.20%,222294058,216103382,97.20%,0.17%,216103382,201970808,6.53%,60.20%,76.60%,81.90%,67.9,14,51.4,40.5,26.3,0.6
SRR3163144,139097147,139097147,139097147,116389035,83.60%,232778070,226291816,97.20%,0.17%,226291816,215889155,4.59%,56.10%,72.00%,77.50%,65.42,13,51.3,40,25.8,0.6
SRR3163146,86933296,86933296,86933296,84191469,96.80%,168382938,163078779,96.80%,0.14%,163078779,154342711,5.35%,57.20%,73.10%,78.70%,48.36,11,50.4,35.8,18.2,0.1
SRR3163148,102910748,102910748,102910748,100006011,97.10%,200012022,194295181,97.10%,0.22%,194295181,183297714,5.66%,56.80%,72.70%,78.60%,57.85,13,51.1,38.2,22.2,0.3
SRR3163150,123270402,123270402,123270402,117787395,95.50%,235574790,228891189,97.10%,0.21%,228891189,212398765,7.20%,56.40%,72.10%,77.80%,66.19,15,51.7,40.5,26,0.5
SRR3163152,74432221,74432221,74432221,72453418,97.30%,144906836,140568824,97.00%,0.19%,140568824,134176666,4.54%,56.70%,72.60%,78.40%,42.29,10,49.6,31.9,14.3,0.1
SRR3163155,111623541,111623541,111623541,108116077,96.80%,216232154,210565593,97.30%,0.17%,210565593,194705566,7.53%,59.60%,75.70%,80.90%,64.34,13,51,39.5,24.9,0.5
SRR3163157,113032677,113032677,113032677,110399993,97.60%,220799986,214679146,97.20%,0.17%,214679146,199706304,6.97%,59.70%,76.10%,81.30%,66.62,13,51.2,40.2,25.8,0.6
SRR3163159,106854138,106854138,106854138,89461756,83.70%,178923512,173834828,97.10%,0.17%,173834828,167476413,3.65%,56.20%,71.90%,77.30%,50.73,10,49.9,35.9,18.6,0.2
SRR3163161,95228321,95228321,95228321,92163605,96.70%,184327210,179047918,97.10%,0.19%,179047918,169758072,5.18%,56.90%,72.70%,78.30%,53.58,12,50.5,36.9,20.1,0.2
SRR3163163,100415367,100415367,100415367,97900242,97.40%,195800484,190399580,97.20%,0.18%,190399580,179837025,5.54%,60.30%,76.70%,82.00%,60.58,12,50.8,38.6,23.3,0.4
SRR3163165,115199904,115199904,115199904,110485496,95.90%,220970992,214555035,97.00%,0.18%,214555035,200359918,6.61%,56.90%,72.70%,78.30%,63.09,13,51.3,39.6,24.6,0.5
SRR3163167,127606615,127606615,127606615,122996670,96.30%,245993340,239150853,97.20%,0.19%,239150853,222860592,6.81%,59.70%,76.30%,81.70%,74.11,16,52,41.6,28.5,0.9
SRR3163169,99713058,99713058,99713058,96775957,97.00%,193551914,187912301,97.00%,0.20%,187912301,178085142,5.22%,56.60%,72.20%,77.70%,56.01,12,50.7,37.5,21.3,0.3
SRR3163171,103118688,103118688,103118688,99684640,96.60%,199369280,194030200,97.30%,0.17%,194030200,181007092,6.71%,60.70%,77.30%,82.60%,61.27,12,50.9,38.6,23.5,0.4
SRR3163173,135413955,135413955,135413955,130664280,96.40%,261328560,254123211,97.20%,0.18%,254123211,232468406,8.52%,60.30%,77.00%,82.40%,78.12,16,52.2,42.3,30,1.1
SRR3163175,112580455,112580455,112580455,108655312,96.50%,217310624,211241033,97.20%,0.14%,211241033,198578192,5.99%,59.40%,75.70%,81.10%,65.42,13,51.2,39.8,25.3,0.6
SRR3163177,106133375,106133375,106133375,103339145,97.30%,206678290,201275025,97.30%,0.16%,201275025,183333770,8.91%,59.40%,75.70%,81.00%,60.62,13,50.9,39.1,23.7,0.3
SRR3163179,100816631,100816631,100816631,97909063,97.10%,195818126,190530508,97.20%,0.20%,190530508,176090843,7.57%,59.90%,76.10%,81.30%,58.46,12,50.5,37.7,22.2,0.4
SRR3163181,91494120,91494120,91494120,87864514,96.00%,175729028,170614320,97.00%,0.18%,170614320,162275826,4.88%,56.60%,72.30%,77.80%,50.64,11,50.2,36.1,18.7,0.2
SRR3163183,118174210,118174210,118174210,114843683,97.10%,229687366,223111857,97.10%,0.22%,223111857,208611480,6.49%,57.50%,73.60%,79.40%,66.66,15,51.7,40.4,26.1,0.6
SRR3163185,142059388,142059388,142059388,136197536,95.80%,272395072,264800343,97.20%,0.20%,264800343,232133574,12.30%,57.70%,73.70%,79.30%,73.88,16,52.1,41.7,28.8,0.9
SRR3163187,79336016,79336016,79336016,77192417,97.20%,154384834,149932625,97.10%,0.20%,149932625,141953759,5.32%,57.70%,73.80%,79.60%,45.53,10,49.9,33.7,16,0.1
SRR3163189,113203480,113203480,113203480,108738684,96.00%,217477368,211228496,97.10%,0.15%,211228496,198386844,6.07%,58.60%,75.00%,80.70%,64.43,14,51.5,39.9,25.1,0.5
SRR3163191,111025454,111025454,111025454,93341040,84.00%,186682080,181382085,97.10%,0.20%,181382085,172669660,4.80%,56.20%,72.10%,77.70%,52.35,11,50.3,36.7,19.7,0.2
SRR3163193,102048058,102048058,102048058,98868315,96.80%,197736630,192032428,97.10%,0.22%,192032428,180164013,6.18%,56.00%,71.70%,77.40%,56.08,13,51,37.8,21.4,0.3
SRR3163195,101066356,101066356,101066356,97886806,96.80%,195773612,189933380,97.00%,0.15%,189933380,168282617,11.30%,58.30%,74.40%,80.00%,53.73,12,50.8,37.9,20.9,0.1
SRR3163197,117535798,117535798,117535798,112479609,95.60%,224959218,218605098,97.10%,0.24%,218605098,200832658,8.12%,57.30%,73.50%,79.20%,63.71,14,51.4,40,25.1,0.5
SRR3163199,95011198,95011198,95011198,91449540,96.20%,182899080,177724545,97.10%,0.17%,177724545,168961860,4.93%,59.10%,75.60%,81.30%,55.38,12,50.8,37.5,21,0.3
SRR3163201,103194532,103194532,103194532,99149494,96.00%,198298988,192717811,97.10%,0.21%,192717811,180910699,6.12%,57.30%,73.30%,78.80%,57.2,12,50.8,38.4,22.1,0.3
SRR3163203,94442154,94442154,94442154,89888379,95.10%,179776758,175134992,97.40%,0.17%,175134992,162285373,7.33%,58.70%,74.90%,80.60%,52.62,11,50.5,36.6,19.8,0.2
SRR3163205,117672717,117672717,117672717,112038371,95.20%,224076742,218398975,97.40%,0.16%,218398975,201413359,7.77%,60.60%,77.10%,82.20%,67.44,13,51.1,40,26,0.7
SRR3163207,90812096,90812096,90812096,87612540,96.40%,175225080,170134603,97.00%,0.15%,170134603,161500992,5.07%,59.10%,75.50%,81.10%,52.96,11,50.4,36.6,19.9,0.2
SRR3163209,95757760,95757760,95757760,93026715,97.10%,186053430,181255542,97.40%,0.20%,181255542,169625258,6.41%,61.20%,77.70%,82.90%,57.53,11,50.4,37.4,21.9,0.3
SRR3163211,125058074,125058074,125058074,120442406,96.30%,240884812,232817859,96.60%,0.16%,232817859,212962473,8.52%,58.80%,75.20%,80.60%,69.43,15,51.6,41.2,27.4,0.6
