#SAMPLE,R1 RAW READS,R2 RAW READS,TRIM INPUT READS,TRIM SURVIVING READS,TRIM SURVIVING READS %,INPUT READS,MAPPED READS (MQ10),MAPPED %,CHIMERIC %,MAPPED READS,DEDUPLICATED READS,DUPLICATES %,ON-TARGET,ON-TARGET 100BP PAD,ON-TARGET 500BP PAD,MEAN COVERAGE,MEDIAN COVERAGE,%_bases_above_10,%_bases_above_50,%_bases_above_100,%_bases_above_500
SRR2129093,107120017,107120017,107120017,102569555,95.70%,205139110,199120810,97.00%,0.26%,199120810,184582341,7.30%,52.60%,68.50%,75.70%,53.86,15,52,38.8,20.8,0.1
SRR2129095,102190629,102190629,102190629,97619687,95.50%,195239374,189606408,97.10%,0.25%,189606408,176000514,7.17%,53.30%,69.40%,76.30%,51.96,14,51.6,37.8,19.7,0.1
SRR2129097,94113518,94113518,94113518,90105834,95.70%,180211668,175017093,97.10%,0.27%,175017093,163091738,6.81%,53.00%,68.80%,76.00%,47.86,13,51.4,36.2,17.4,0.1
SRR2129099,105754263,105754263,105754263,102631312,97.00%,205262624,199587289,97.20%,0.25%,199587289,182338989,8.64%,54.80%,71.30%,78.20%,55.69,15,51.9,39.2,22.1,0.2
SRR2129101,103860771,103860771,103860771,98980232,95.30%,197960464,192360474,97.10%,0.27%,192360474,179416569,6.72%,52.90%,68.70%,75.90%,52.49,15,51.8,38.2,19.9,0.1
SRR2129103,100755815,100755815,100755815,96046068,95.30%,192092136,186335052,97.00%,0.29%,186335052,174911093,6.13%,52.60%,68.30%,75.50%,50.91,14,51.7,37.3,18.9,0.1
SRR2129105,84113963,84113963,84113963,81402086,96.70%,162804172,158142418,97.10%,0.25%,158142418,147486003,6.73%,54.00%,70.20%,77.50%,44.32,13,51,34.8,15.3,0
SRR2129107,104098293,104098293,104098293,100821088,96.80%,201642176,195905192,97.10%,0.23%,195905192,180998520,7.60%,54.10%,70.20%,77.20%,54.45,15,51.9,39,21.3,0.1
SRR2129109,108511738,108511738,108511738,105137720,96.80%,210275440,204230303,97.10%,0.24%,204230303,187307096,8.28%,54.20%,70.40%,77.50%,56.51,16,52.1,39.7,22.4,0.2
SRR2129111,114070295,114070295,114070295,110492051,96.80%,220984102,214674174,97.10%,0.24%,214674174,195919266,8.73%,53.90%,70.00%,76.90%,58.72,16,52.2,40.3,23.7,0.2
SRR2129113,106087538,106087538,106087538,102778957,96.80%,205557914,199762331,97.10%,0.22%,199762331,182908271,8.43%,54.20%,70.40%,77.40%,55.2,15,51.9,39.4,21.8,0.1
SRR2129115,151457484,151457484,151457484,133168989,87.90%,266337978,259046357,97.20%,0.12%,259046357,230579937,10.90%,56.80%,72.30%,77.70%,72.39,15,52,41.8,28.9,0.7
SRR2129119,84784380,84784380,84784380,80747924,95.20%,161495848,157157888,97.30%,0.14%,157157888,138911937,11.60%,58.00%,74.20%,79.80%,44.47,10,49.9,34.3,16,0
SRR2129127,102824140,102824140,102824140,86536310,84.10%,173072620,168143551,97.10%,0.14%,168143551,158645240,5.64%,56.00%,71.80%,77.60%,48.47,11,50.3,35.5,17.7,0.1
SRR2129130,86853191,86853191,86853191,83801791,96.40%,167603582,162460465,96.90%,0.18%,162460465,152403163,6.19%,57.30%,73.40%,79.30%,48.43,11,50.4,35.3,17.6,0.1
SRR2129132,107182117,107182117,107182117,103804863,96.80%,207609726,200854739,96.70%,0.58%,200854739,188989196,5.90%,56.70%,72.60%,78.70%,59.39,14,51.7,39.2,22.9,0.3
